name,layer_type,batch_input_shape,batch_output_shape,connected_to,params,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,use_bias,axis,scale,moving_mean_initializer,bias_regularizer,moving_variance_initializer,gamma_constraint,bias_initializer,beta_regularizer,activity_regularizer,momentum,gamma_initializer,kernel_initializer,kernel_constraint,epsilon,beta_initializer,beta_constraint,center,bias_constraint,data_format,dilation_rate,kernel_regularizer,sparse,gamma_regularizer
bn3a_branch2c,BatchNormalization,"(None, 28, 28, 512)","(None, 28, 28, 512)",res3a_branch2c,2048,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
bn3a_branch1,BatchNormalization,"(None, 28, 28, 512)","(None, 28, 28, 512)",res3a_branch1,2048,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
add_4,Add,"[(None, 28, 28, 512), (None, 28, 28, 512)]","(None, 28, 28, 512)",bn3a_branch2c/bn3a_branch1,0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
activation_13,Activation,"(None, 28, 28, 512)","(None, 28, 28, 512)",add_4,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res3b_branch2a,Conv2D,"(None, 28, 28, 512)","(None, 28, 28, 128)",activation_13,65664,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn3b_branch2a,BatchNormalization,"(None, 28, 28, 128)","(None, 28, 28, 128)",res3b_branch2a,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_14,Activation,"(None, 28, 28, 128)","(None, 28, 28, 128)",bn3b_branch2a,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res3b_branch2b,Conv2D,"(None, 28, 28, 128)","(None, 28, 28, 128)",activation_14,147584,128,"(3, 3)",linear,same,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn3b_branch2b,BatchNormalization,"(None, 28, 28, 128)","(None, 28, 28, 128)",res3b_branch2b,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_15,Activation,"(None, 28, 28, 128)","(None, 28, 28, 128)",bn3b_branch2b,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res3b_branch2c,Conv2D,"(None, 28, 28, 128)","(None, 28, 28, 512)",activation_15,66048,512,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
