name,layer_type,batch_input_shape,batch_output_shape,connected_to,params,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,use_bias,axis,scale,moving_mean_initializer,bias_regularizer,moving_variance_initializer,gamma_constraint,bias_initializer,beta_regularizer,activity_regularizer,momentum,gamma_initializer,kernel_initializer,kernel_constraint,epsilon,beta_initializer,beta_constraint,center,bias_constraint,data_format,dilation_rate,kernel_regularizer,sparse,gamma_regularizer
res5b_branch2c,Conv2D,"(None, 7, 7, 512)","(None, 7, 7, 2048)",activation_45,1050624,2048,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn5b_branch2c,BatchNormalization,"(None, 7, 7, 2048)","(None, 7, 7, 2048)",res5b_branch2c,8192,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
add_15,Add,"[(None, 7, 7, 2048), (None, 7, 7, 2048)]","(None, 7, 7, 2048)",bn5b_branch2c/activation_43,0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
activation_46,Activation,"(None, 7, 7, 2048)","(None, 7, 7, 2048)",add_15,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res5c_branch2a,Conv2D,"(None, 7, 7, 2048)","(None, 7, 7, 512)",activation_46,1049088,512,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn5c_branch2a,BatchNormalization,"(None, 7, 7, 512)","(None, 7, 7, 512)",res5c_branch2a,2048,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_47,Activation,"(None, 7, 7, 512)","(None, 7, 7, 512)",bn5c_branch2a,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res5c_branch2b,Conv2D,"(None, 7, 7, 512)","(None, 7, 7, 512)",activation_47,2359808,512,"(3, 3)",linear,same,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn5c_branch2b,BatchNormalization,"(None, 7, 7, 512)","(None, 7, 7, 512)",res5c_branch2b,2048,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_48,Activation,"(None, 7, 7, 512)","(None, 7, 7, 512)",bn5c_branch2b,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res5c_branch2c,Conv2D,"(None, 7, 7, 512)","(None, 7, 7, 2048)",activation_48,1050624,2048,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'normal', 'scale': 2.0, 'seed': None, 'mode': 'fan_in'}}",,,,,,,channels_last,"(1, 1)",,,
bn5c_branch2c,BatchNormalization,"(None, 7, 7, 2048)","(None, 7, 7, 2048)",res5c_branch2c,8192,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
add_16,Add,"[(None, 7, 7, 2048), (None, 7, 7, 2048)]","(None, 7, 7, 2048)",bn5c_branch2c/activation_46,0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
activation_49,Activation,"(None, 7, 7, 2048)","(None, 7, 7, 2048)",add_16,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
avg_pool,AveragePooling2D,"(None, 7, 7, 2048)","(None, 1, 1, 2048)",activation_49,0,,,,valid,"(7, 7)","(7, 7)",,,True,,,,,,,,,,,,,,,,,,,,channels_last,,,,
flatten_2,Flatten,"(None, 1, 1, 2048)","(None, 2048)",avg_pool,0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,channels_last,,,,
fc1000,Dense,"(None, 2048)","(None, 1000)",flatten_2,2049000,,,softmax,,,,1000,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,,,,
