epoch,train loss,train acc,valid loss,valid acc,test loss,test acc
1,0.7671381278136342,39.79381430394871,0.7937876262046673,44.44444350622319,0.8633419374624888,49.5833324889342
2,0.7411252757937637,37.57731942171903,0.7674524066624818,43.518518628897496,0.8635662148396174,47.916667411724724
3,0.7345227033821577,37.47422664435869,0.7324533407334928,38.4259260363049,0.8387324512004852,42.91666621963183
4,0.7111447133968786,35.61855698983693,0.7040512164433798,37.962962411068105,0.8227267563343048,44.999999552965164
5,0.6957889021057444,33.24742268041238,0.7204407023058997,39.35185107919905,0.8271797150373459,43.749999503294625
6,0.6966593698742464,33.24742268041238,0.692285731986717,36.11111133186905,0.7869198669989904,39.16666582226753
7,0.6787818894558346,31.340206437504172,0.6865862563804344,37.03703692665806,0.7723140319188436,37.91666701436043
8,0.6722809466504559,30.876288954744634,0.6811398830678728,37.96296362523679,0.7622110396623611,36.25000019868215
9,0.6658406595593875,30.721649251033345,0.6695494839438686,35.64814825852712,0.7588815490404764,37.500000496705375
10,0.6688844878034493,31.28865975694558,0.676278708157716,34.25925959039618,0.7608756075302759,35.83333343267441
