name,layer_type,batch_input_shape,batch_output_shape,connected_to,params,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,function_type,use_bias,axis,scale,moving_mean_initializer,bias_regularizer,moving_variance_initializer,gamma_constraint,arguments,bias_initializer,beta_regularizer,output_shape,momentum,output_shape_type,function,gamma_initializer,kernel_initializer,kernel_constraint,epsilon,beta_initializer,activity_regularizer,beta_constraint,center,bias_constraint,data_format,dilation_rate,kernel_regularizer,sparse,gamma_regularizer
conv2d_80,Conv2D,"(None, 12, 12, 160)","(None, 12, 12, 192)",activation_79,215040,192,"(7, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_77,BatchNormalization,"(None, 12, 12, 192)","(None, 12, 12, 192)",conv2d_77,576,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
batch_normalization_80,BatchNormalization,"(None, 12, 12, 192)","(None, 12, 12, 192)",conv2d_80,576,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_77,Activation,"(None, 12, 12, 192)","(None, 12, 12, 192)",batch_normalization_77,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation_80,Activation,"(None, 12, 12, 192)","(None, 12, 12, 192)",batch_normalization_80,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block17_1_mixed,Concatenate,"[(None, 12, 12, 192), (None, 12, 12, 192)]","(None, 12, 12, 384)",activation_77/activation_80,0,,,,,,,,,True,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
block17_1_conv,Conv2D,"(None, 12, 12, 384)","(None, 12, 12, 1088)",block17_1_mixed,418880,1088,"(1, 1)",linear,same,"(1, 1)",,,,True,,True,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
block17_1,Lambda,"[(None, 12, 12, 1088), (None, 12, 12, 1088)]","(None, 12, 12, 1088)",mixed_6a/block17_1_conv,0,,,,,,,,,True,lambda,,,,,,,,{'scale': 0.1},,,"(12, 12, 1088)",,raw,"(u'YwIAAAACAAAAAwAAAFNgAQBzFAAAAHwAAGQBABl8AABkAgAZfAEAFBdTKAMAAABOaQAAAABpAQAA\nACgAAAAAKAIAAAB0BgAAAGlucHV0c3QFAAAAc2NhbGUoAAAAACgAAAAAc3oAAAAvVXNlcnMva2Fu\nZ3N1amluL0RvY3VtZW50cy9TVUpJTi9JLVNVUkYgcHJvamVjdC92ZW52L2xpYi9weXRob24yLjcv\nc2l0ZS1wYWNrYWdlcy9rZXJhc19hcHBsaWNhdGlvbnMvaW5jZXB0aW9uX3Jlc25ldF92Mi5weXQI\nAAAAPGxhbWJkYT6qAAAAdAAAAAA=\n', None, None)",,,,,,,,,,,,,,
block17_1_ac,Activation,"(None, 12, 12, 1088)","(None, 12, 12, 1088)",block17_1,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_82,Conv2D,"(None, 12, 12, 1088)","(None, 12, 12, 128)",block17_1_ac,139264,128,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_82,BatchNormalization,"(None, 12, 12, 128)","(None, 12, 12, 128)",conv2d_82,384,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_82,Activation,"(None, 12, 12, 128)","(None, 12, 12, 128)",batch_normalization_82,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
