name,layer_type,batch_input_shape,batch_output_shape,connected_to,params,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,function_type,use_bias,axis,scale,moving_mean_initializer,bias_regularizer,moving_variance_initializer,gamma_constraint,arguments,bias_initializer,beta_regularizer,output_shape,momentum,output_shape_type,function,gamma_initializer,kernel_initializer,kernel_constraint,epsilon,beta_initializer,activity_regularizer,beta_constraint,center,bias_constraint,data_format,dilation_rate,kernel_regularizer,sparse,gamma_regularizer
conv2d_83,Conv2D,"(None, 12, 12, 128)","(None, 12, 12, 160)",activation_82,143360,160,"(1, 7)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_83,BatchNormalization,"(None, 12, 12, 160)","(None, 12, 12, 160)",conv2d_83,480,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_83,Activation,"(None, 12, 12, 160)","(None, 12, 12, 160)",batch_normalization_83,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_81,Conv2D,"(None, 12, 12, 1088)","(None, 12, 12, 192)",block17_1_ac,208896,192,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv2d_84,Conv2D,"(None, 12, 12, 160)","(None, 12, 12, 192)",activation_83,215040,192,"(7, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_81,BatchNormalization,"(None, 12, 12, 192)","(None, 12, 12, 192)",conv2d_81,576,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
batch_normalization_84,BatchNormalization,"(None, 12, 12, 192)","(None, 12, 12, 192)",conv2d_84,576,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_81,Activation,"(None, 12, 12, 192)","(None, 12, 12, 192)",batch_normalization_81,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation_84,Activation,"(None, 12, 12, 192)","(None, 12, 12, 192)",batch_normalization_84,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block17_2_mixed,Concatenate,"[(None, 12, 12, 192), (None, 12, 12, 192)]","(None, 12, 12, 384)",activation_81/activation_84,0,,,,,,,,,True,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
block17_2_conv,Conv2D,"(None, 12, 12, 384)","(None, 12, 12, 1088)",block17_2_mixed,418880,1088,"(1, 1)",linear,same,"(1, 1)",,,,True,,True,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
block17_2,Lambda,"[(None, 12, 12, 1088), (None, 12, 12, 1088)]","(None, 12, 12, 1088)",block17_1_ac/block17_2_conv,0,,,,,,,,,True,lambda,,,,,,,,{'scale': 0.1},,,"(12, 12, 1088)",,raw,"(u'YwIAAAACAAAAAwAAAFNgAQBzFAAAAHwAAGQBABl8AABkAgAZfAEAFBdTKAMAAABOaQAAAABpAQAA\nACgAAAAAKAIAAAB0BgAAAGlucHV0c3QFAAAAc2NhbGUoAAAAACgAAAAAc3oAAAAvVXNlcnMva2Fu\nZ3N1amluL0RvY3VtZW50cy9TVUpJTi9JLVNVUkYgcHJvamVjdC92ZW52L2xpYi9weXRob24yLjcv\nc2l0ZS1wYWNrYWdlcy9rZXJhc19hcHBsaWNhdGlvbnMvaW5jZXB0aW9uX3Jlc25ldF92Mi5weXQI\nAAAAPGxhbWJkYT6qAAAAdAAAAAA=\n', None, None)",,,,,,,,,,,,,,
block17_2_ac,Activation,"(None, 12, 12, 1088)","(None, 12, 12, 1088)",block17_2,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_86,Conv2D,"(None, 12, 12, 1088)","(None, 12, 12, 128)",block17_2_ac,139264,128,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_86,BatchNormalization,"(None, 12, 12, 128)","(None, 12, 12, 128)",conv2d_86,384,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_86,Activation,"(None, 12, 12, 128)","(None, 12, 12, 128)",batch_normalization_86,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_87,Conv2D,"(None, 12, 12, 128)","(None, 12, 12, 160)",activation_86,143360,160,"(1, 7)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_87,BatchNormalization,"(None, 12, 12, 160)","(None, 12, 12, 160)",conv2d_87,480,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_87,Activation,"(None, 12, 12, 160)","(None, 12, 12, 160)",batch_normalization_87,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_85,Conv2D,"(None, 12, 12, 1088)","(None, 12, 12, 192)",block17_2_ac,208896,192,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv2d_88,Conv2D,"(None, 12, 12, 160)","(None, 12, 12, 192)",activation_87,215040,192,"(7, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_85,BatchNormalization,"(None, 12, 12, 192)","(None, 12, 12, 192)",conv2d_85,576,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
batch_normalization_88,BatchNormalization,"(None, 12, 12, 192)","(None, 12, 12, 192)",conv2d_88,576,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_85,Activation,"(None, 12, 12, 192)","(None, 12, 12, 192)",batch_normalization_85,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation_88,Activation,"(None, 12, 12, 192)","(None, 12, 12, 192)",batch_normalization_88,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block17_3_mixed,Concatenate,"[(None, 12, 12, 192), (None, 12, 12, 192)]","(None, 12, 12, 384)",activation_85/activation_88,0,,,,,,,,,True,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
block17_3_conv,Conv2D,"(None, 12, 12, 384)","(None, 12, 12, 1088)",block17_3_mixed,418880,1088,"(1, 1)",linear,same,"(1, 1)",,,,True,,True,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
block17_3,Lambda,"[(None, 12, 12, 1088), (None, 12, 12, 1088)]","(None, 12, 12, 1088)",block17_2_ac/block17_3_conv,0,,,,,,,,,True,lambda,,,,,,,,{'scale': 0.1},,,"(12, 12, 1088)",,raw,"(u'YwIAAAACAAAAAwAAAFNgAQBzFAAAAHwAAGQBABl8AABkAgAZfAEAFBdTKAMAAABOaQAAAABpAQAA\nACgAAAAAKAIAAAB0BgAAAGlucHV0c3QFAAAAc2NhbGUoAAAAACgAAAAAc3oAAAAvVXNlcnMva2Fu\nZ3N1amluL0RvY3VtZW50cy9TVUpJTi9JLVNVUkYgcHJvamVjdC92ZW52L2xpYi9weXRob24yLjcv\nc2l0ZS1wYWNrYWdlcy9rZXJhc19hcHBsaWNhdGlvbnMvaW5jZXB0aW9uX3Jlc25ldF92Mi5weXQI\nAAAAPGxhbWJkYT6qAAAAdAAAAAA=\n', None, None)",,,,,,,,,,,,,,
block17_3_ac,Activation,"(None, 12, 12, 1088)","(None, 12, 12, 1088)",block17_3,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_90,Conv2D,"(None, 12, 12, 1088)","(None, 12, 12, 128)",block17_3_ac,139264,128,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_90,BatchNormalization,"(None, 12, 12, 128)","(None, 12, 12, 128)",conv2d_90,384,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_90,Activation,"(None, 12, 12, 128)","(None, 12, 12, 128)",batch_normalization_90,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_91,Conv2D,"(None, 12, 12, 128)","(None, 12, 12, 160)",activation_90,143360,160,"(1, 7)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_91,BatchNormalization,"(None, 12, 12, 160)","(None, 12, 12, 160)",conv2d_91,480,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_91,Activation,"(None, 12, 12, 160)","(None, 12, 12, 160)",batch_normalization_91,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_89,Conv2D,"(None, 12, 12, 1088)","(None, 12, 12, 192)",block17_3_ac,208896,192,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv2d_92,Conv2D,"(None, 12, 12, 160)","(None, 12, 12, 192)",activation_91,215040,192,"(7, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_89,BatchNormalization,"(None, 12, 12, 192)","(None, 12, 12, 192)",conv2d_89,576,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
batch_normalization_92,BatchNormalization,"(None, 12, 12, 192)","(None, 12, 12, 192)",conv2d_92,576,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_89,Activation,"(None, 12, 12, 192)","(None, 12, 12, 192)",batch_normalization_89,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation_92,Activation,"(None, 12, 12, 192)","(None, 12, 12, 192)",batch_normalization_92,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block17_4_mixed,Concatenate,"[(None, 12, 12, 192), (None, 12, 12, 192)]","(None, 12, 12, 384)",activation_89/activation_92,0,,,,,,,,,True,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
block17_4_conv,Conv2D,"(None, 12, 12, 384)","(None, 12, 12, 1088)",block17_4_mixed,418880,1088,"(1, 1)",linear,same,"(1, 1)",,,,True,,True,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
block17_4,Lambda,"[(None, 12, 12, 1088), (None, 12, 12, 1088)]","(None, 12, 12, 1088)",block17_3_ac/block17_4_conv,0,,,,,,,,,True,lambda,,,,,,,,{'scale': 0.1},,,"(12, 12, 1088)",,raw,"(u'YwIAAAACAAAAAwAAAFNgAQBzFAAAAHwAAGQBABl8AABkAgAZfAEAFBdTKAMAAABOaQAAAABpAQAA\nACgAAAAAKAIAAAB0BgAAAGlucHV0c3QFAAAAc2NhbGUoAAAAACgAAAAAc3oAAAAvVXNlcnMva2Fu\nZ3N1amluL0RvY3VtZW50cy9TVUpJTi9JLVNVUkYgcHJvamVjdC92ZW52L2xpYi9weXRob24yLjcv\nc2l0ZS1wYWNrYWdlcy9rZXJhc19hcHBsaWNhdGlvbnMvaW5jZXB0aW9uX3Jlc25ldF92Mi5weXQI\nAAAAPGxhbWJkYT6qAAAAdAAAAAA=\n', None, None)",,,,,,,,,,,,,,
block17_4_ac,Activation,"(None, 12, 12, 1088)","(None, 12, 12, 1088)",block17_4,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_94,Conv2D,"(None, 12, 12, 1088)","(None, 12, 12, 128)",block17_4_ac,139264,128,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_94,BatchNormalization,"(None, 12, 12, 128)","(None, 12, 12, 128)",conv2d_94,384,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_94,Activation,"(None, 12, 12, 128)","(None, 12, 12, 128)",batch_normalization_94,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_95,Conv2D,"(None, 12, 12, 128)","(None, 12, 12, 160)",activation_94,143360,160,"(1, 7)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_95,BatchNormalization,"(None, 12, 12, 160)","(None, 12, 12, 160)",conv2d_95,480,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_95,Activation,"(None, 12, 12, 160)","(None, 12, 12, 160)",batch_normalization_95,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_93,Conv2D,"(None, 12, 12, 1088)","(None, 12, 12, 192)",block17_4_ac,208896,192,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
