name,layer_type,batch_input_shape,batch_output_shape,connected_to,params,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,use_bias,axis,scale,moving_mean_initializer,bias_regularizer,moving_variance_initializer,gamma_constraint,bias_initializer,beta_regularizer,momentum,gamma_initializer,kernel_initializer,kernel_constraint,epsilon,activity_regularizer,beta_initializer,beta_constraint,center,bias_constraint,data_format,dilation_rate,kernel_regularizer,sparse,gamma_regularizer
conv4_block21_0_bn,BatchNormalization,"(None, 14, 14, 896)","(None, 14, 14, 896)",conv4_block20_concat,3584,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv4_block21_0_relu,Activation,"(None, 14, 14, 896)","(None, 14, 14, 896)",conv4_block21_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv4_block21_1_conv,Conv2D,"(None, 14, 14, 896)","(None, 14, 14, 128)",conv4_block21_0_relu,114688,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv4_block21_1_bn,BatchNormalization,"(None, 14, 14, 128)","(None, 14, 14, 128)",conv4_block21_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv4_block21_1_relu,Activation,"(None, 14, 14, 128)","(None, 14, 14, 128)",conv4_block21_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv4_block21_2_conv,Conv2D,"(None, 14, 14, 128)","(None, 14, 14, 32)",conv4_block21_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv4_block21_concat,Concatenate,"[(None, 14, 14, 896), (None, 14, 14, 32)]","(None, 14, 14, 928)",conv4_block20_concat/conv4_block21_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv4_block22_0_bn,BatchNormalization,"(None, 14, 14, 928)","(None, 14, 14, 928)",conv4_block21_concat,3712,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv4_block22_0_relu,Activation,"(None, 14, 14, 928)","(None, 14, 14, 928)",conv4_block22_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv4_block22_1_conv,Conv2D,"(None, 14, 14, 928)","(None, 14, 14, 128)",conv4_block22_0_relu,118784,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv4_block22_1_bn,BatchNormalization,"(None, 14, 14, 128)","(None, 14, 14, 128)",conv4_block22_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv4_block22_1_relu,Activation,"(None, 14, 14, 128)","(None, 14, 14, 128)",conv4_block22_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv4_block22_2_conv,Conv2D,"(None, 14, 14, 128)","(None, 14, 14, 32)",conv4_block22_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv4_block22_concat,Concatenate,"[(None, 14, 14, 928), (None, 14, 14, 32)]","(None, 14, 14, 960)",conv4_block21_concat/conv4_block22_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv4_block23_0_bn,BatchNormalization,"(None, 14, 14, 960)","(None, 14, 14, 960)",conv4_block22_concat,3840,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv4_block23_0_relu,Activation,"(None, 14, 14, 960)","(None, 14, 14, 960)",conv4_block23_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv4_block23_1_conv,Conv2D,"(None, 14, 14, 960)","(None, 14, 14, 128)",conv4_block23_0_relu,122880,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv4_block23_1_bn,BatchNormalization,"(None, 14, 14, 128)","(None, 14, 14, 128)",conv4_block23_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv4_block23_1_relu,Activation,"(None, 14, 14, 128)","(None, 14, 14, 128)",conv4_block23_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv4_block23_2_conv,Conv2D,"(None, 14, 14, 128)","(None, 14, 14, 32)",conv4_block23_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv4_block23_concat,Concatenate,"[(None, 14, 14, 960), (None, 14, 14, 32)]","(None, 14, 14, 992)",conv4_block22_concat/conv4_block23_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv4_block24_0_bn,BatchNormalization,"(None, 14, 14, 992)","(None, 14, 14, 992)",conv4_block23_concat,3968,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
