name,layer_type,batch_input_shape,batch_output_shape,connected_to,params,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,use_bias,axis,scale,moving_mean_initializer,bias_regularizer,moving_variance_initializer,gamma_constraint,bias_initializer,beta_regularizer,momentum,gamma_initializer,kernel_initializer,kernel_constraint,epsilon,activity_regularizer,beta_initializer,beta_constraint,center,bias_constraint,data_format,dilation_rate,kernel_regularizer,sparse,gamma_regularizer
conv5_block5_0_relu,Activation,"(None, 7, 7, 640)","(None, 7, 7, 640)",conv5_block5_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block5_1_conv,Conv2D,"(None, 7, 7, 640)","(None, 7, 7, 128)",conv5_block5_0_relu,81920,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block5_1_bn,BatchNormalization,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block5_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block5_1_relu,Activation,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block5_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block5_2_conv,Conv2D,"(None, 7, 7, 128)","(None, 7, 7, 32)",conv5_block5_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block5_concat,Concatenate,"[(None, 7, 7, 640), (None, 7, 7, 32)]","(None, 7, 7, 672)",conv5_block4_concat/conv5_block5_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv5_block6_0_bn,BatchNormalization,"(None, 7, 7, 672)","(None, 7, 7, 672)",conv5_block5_concat,2688,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block6_0_relu,Activation,"(None, 7, 7, 672)","(None, 7, 7, 672)",conv5_block6_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block6_1_conv,Conv2D,"(None, 7, 7, 672)","(None, 7, 7, 128)",conv5_block6_0_relu,86016,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block6_1_bn,BatchNormalization,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block6_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block6_1_relu,Activation,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block6_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block6_2_conv,Conv2D,"(None, 7, 7, 128)","(None, 7, 7, 32)",conv5_block6_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block6_concat,Concatenate,"[(None, 7, 7, 672), (None, 7, 7, 32)]","(None, 7, 7, 704)",conv5_block5_concat/conv5_block6_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv5_block7_0_bn,BatchNormalization,"(None, 7, 7, 704)","(None, 7, 7, 704)",conv5_block6_concat,2816,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block7_0_relu,Activation,"(None, 7, 7, 704)","(None, 7, 7, 704)",conv5_block7_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block7_1_conv,Conv2D,"(None, 7, 7, 704)","(None, 7, 7, 128)",conv5_block7_0_relu,90112,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block7_1_bn,BatchNormalization,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block7_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block7_1_relu,Activation,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block7_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block7_2_conv,Conv2D,"(None, 7, 7, 128)","(None, 7, 7, 32)",conv5_block7_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block7_concat,Concatenate,"[(None, 7, 7, 704), (None, 7, 7, 32)]","(None, 7, 7, 736)",conv5_block6_concat/conv5_block7_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv5_block8_0_bn,BatchNormalization,"(None, 7, 7, 736)","(None, 7, 7, 736)",conv5_block7_concat,2944,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block8_0_relu,Activation,"(None, 7, 7, 736)","(None, 7, 7, 736)",conv5_block8_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block8_1_conv,Conv2D,"(None, 7, 7, 736)","(None, 7, 7, 128)",conv5_block8_0_relu,94208,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block8_1_bn,BatchNormalization,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block8_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block8_1_relu,Activation,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block8_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block8_2_conv,Conv2D,"(None, 7, 7, 128)","(None, 7, 7, 32)",conv5_block8_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block8_concat,Concatenate,"[(None, 7, 7, 736), (None, 7, 7, 32)]","(None, 7, 7, 768)",conv5_block7_concat/conv5_block8_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv5_block9_0_bn,BatchNormalization,"(None, 7, 7, 768)","(None, 7, 7, 768)",conv5_block8_concat,3072,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block9_0_relu,Activation,"(None, 7, 7, 768)","(None, 7, 7, 768)",conv5_block9_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block9_1_conv,Conv2D,"(None, 7, 7, 768)","(None, 7, 7, 128)",conv5_block9_0_relu,98304,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block9_1_bn,BatchNormalization,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block9_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block9_1_relu,Activation,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block9_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block9_2_conv,Conv2D,"(None, 7, 7, 128)","(None, 7, 7, 32)",conv5_block9_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block9_concat,Concatenate,"[(None, 7, 7, 768), (None, 7, 7, 32)]","(None, 7, 7, 800)",conv5_block8_concat/conv5_block9_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv5_block10_0_bn,BatchNormalization,"(None, 7, 7, 800)","(None, 7, 7, 800)",conv5_block9_concat,3200,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block10_0_relu,Activation,"(None, 7, 7, 800)","(None, 7, 7, 800)",conv5_block10_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block10_1_conv,Conv2D,"(None, 7, 7, 800)","(None, 7, 7, 128)",conv5_block10_0_relu,102400,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block10_1_bn,BatchNormalization,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block10_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block10_1_relu,Activation,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block10_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block10_2_conv,Conv2D,"(None, 7, 7, 128)","(None, 7, 7, 32)",conv5_block10_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block10_concat,Concatenate,"[(None, 7, 7, 800), (None, 7, 7, 32)]","(None, 7, 7, 832)",conv5_block9_concat/conv5_block10_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv5_block11_0_bn,BatchNormalization,"(None, 7, 7, 832)","(None, 7, 7, 832)",conv5_block10_concat,3328,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block11_0_relu,Activation,"(None, 7, 7, 832)","(None, 7, 7, 832)",conv5_block11_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block11_1_conv,Conv2D,"(None, 7, 7, 832)","(None, 7, 7, 128)",conv5_block11_0_relu,106496,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block11_1_bn,BatchNormalization,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block11_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block11_1_relu,Activation,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block11_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block11_2_conv,Conv2D,"(None, 7, 7, 128)","(None, 7, 7, 32)",conv5_block11_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block11_concat,Concatenate,"[(None, 7, 7, 832), (None, 7, 7, 32)]","(None, 7, 7, 864)",conv5_block10_concat/conv5_block11_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv5_block12_0_bn,BatchNormalization,"(None, 7, 7, 864)","(None, 7, 7, 864)",conv5_block11_concat,3456,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block12_0_relu,Activation,"(None, 7, 7, 864)","(None, 7, 7, 864)",conv5_block12_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block12_1_conv,Conv2D,"(None, 7, 7, 864)","(None, 7, 7, 128)",conv5_block12_0_relu,110592,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block12_1_bn,BatchNormalization,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block12_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block12_1_relu,Activation,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block12_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block12_2_conv,Conv2D,"(None, 7, 7, 128)","(None, 7, 7, 32)",conv5_block12_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block12_concat,Concatenate,"[(None, 7, 7, 864), (None, 7, 7, 32)]","(None, 7, 7, 896)",conv5_block11_concat/conv5_block12_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv5_block13_0_bn,BatchNormalization,"(None, 7, 7, 896)","(None, 7, 7, 896)",conv5_block12_concat,3584,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block13_0_relu,Activation,"(None, 7, 7, 896)","(None, 7, 7, 896)",conv5_block13_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block13_1_conv,Conv2D,"(None, 7, 7, 896)","(None, 7, 7, 128)",conv5_block13_0_relu,114688,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block13_1_bn,BatchNormalization,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block13_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block13_1_relu,Activation,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block13_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block13_2_conv,Conv2D,"(None, 7, 7, 128)","(None, 7, 7, 32)",conv5_block13_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block13_concat,Concatenate,"[(None, 7, 7, 896), (None, 7, 7, 32)]","(None, 7, 7, 928)",conv5_block12_concat/conv5_block13_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv5_block14_0_bn,BatchNormalization,"(None, 7, 7, 928)","(None, 7, 7, 928)",conv5_block13_concat,3712,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block14_0_relu,Activation,"(None, 7, 7, 928)","(None, 7, 7, 928)",conv5_block14_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block14_1_conv,Conv2D,"(None, 7, 7, 928)","(None, 7, 7, 128)",conv5_block14_0_relu,118784,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block14_1_bn,BatchNormalization,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block14_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block14_1_relu,Activation,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block14_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block14_2_conv,Conv2D,"(None, 7, 7, 128)","(None, 7, 7, 32)",conv5_block14_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block14_concat,Concatenate,"[(None, 7, 7, 928), (None, 7, 7, 32)]","(None, 7, 7, 960)",conv5_block13_concat/conv5_block14_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv5_block15_0_bn,BatchNormalization,"(None, 7, 7, 960)","(None, 7, 7, 960)",conv5_block14_concat,3840,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block15_0_relu,Activation,"(None, 7, 7, 960)","(None, 7, 7, 960)",conv5_block15_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block15_1_conv,Conv2D,"(None, 7, 7, 960)","(None, 7, 7, 128)",conv5_block15_0_relu,122880,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block15_1_bn,BatchNormalization,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block15_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block15_1_relu,Activation,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block15_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block15_2_conv,Conv2D,"(None, 7, 7, 128)","(None, 7, 7, 32)",conv5_block15_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block15_concat,Concatenate,"[(None, 7, 7, 960), (None, 7, 7, 32)]","(None, 7, 7, 992)",conv5_block14_concat/conv5_block15_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv5_block16_0_bn,BatchNormalization,"(None, 7, 7, 992)","(None, 7, 7, 992)",conv5_block15_concat,3968,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block16_0_relu,Activation,"(None, 7, 7, 992)","(None, 7, 7, 992)",conv5_block16_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block16_1_conv,Conv2D,"(None, 7, 7, 992)","(None, 7, 7, 128)",conv5_block16_0_relu,126976,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block16_1_bn,BatchNormalization,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block16_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block16_1_relu,Activation,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block16_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block16_2_conv,Conv2D,"(None, 7, 7, 128)","(None, 7, 7, 32)",conv5_block16_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block16_concat,Concatenate,"[(None, 7, 7, 992), (None, 7, 7, 32)]","(None, 7, 7, 1024)",conv5_block15_concat/conv5_block16_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
bn,BatchNormalization,"(None, 7, 7, 1024)","(None, 7, 7, 1024)",conv5_block16_concat,4096,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
avg_pool,GlobalAveragePooling2D,"(None, 7, 7, 1024)","(None, 1024)",bn,0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,channels_last,,,,
fc1000,Dense,"(None, 1024)","(None, 1000)",avg_pool,1025000,,,softmax,,,,1000,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,,,,,
